player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev
"Schauffele, Xander",150,+41215,+17500,-0.574,+15000,-0.635,+25000,-0.392,+30000,-0.271,+15000,-0.635,+17000,-0.586,+25000,-0.392,,0.00,+25000,-0.392,+17500,-0.574,+20000,-0.513,+25000,-0.392,+15000,-0.635,,0.00,,0.00
"Hughes, Mackenzie",150,+41408,+30000,-0.275,+27500,-0.335,+40000,-0.034,+40000,-0.034,+20000,-0.516,+30000,-0.275,+40000,-0.034,,0.00,+40000,-0.034,+25000,-0.395,+20000,-0.516,+40000,-0.034,+25000,-0.395,,0.00,+26955,-0.348
"Scott, Adam",150,+41422,+25000,-0.396,+22500,-0.456,+35000,-0.155,+35000,-0.155,,0.00,+25000,-0.396,+35000,-0.155,,0.00,+35000,-0.155,+27500,-0.335,+25000,-0.396,+35000,-0.155,+25000,-0.396,,0.00,+24689,-0.403
"Im, Sungjae",150,+47098,+30000,-0.362,+27500,-0.415,+40000,-0.150,+30000,-0.362,+15000,-0.680,+30000,-0.362,+40000,-0.150,,0.00,+40000,-0.150,+27500,-0.415,+25000,-0.468,+40000,-0.150,+30000,-0.362,,0.00,,0.00
"Spaun, J.J.",150,+47910,+27500,-0.425,+25000,-0.477,+40000,-0.165,+30000,-0.373,+20000,-0.581,+25000,-0.477,+40000,-0.165,,0.00,+40000,-0.165,+27500,-0.425,+25000,-0.477,+40000,-0.165,,0.00,,0.00,,0.00
"Detry, Thomas",150,+53966,+30000,-0.443,+27500,-0.490,+50000,-0.073,+35000,-0.351,+35000,-0.351,+30000,-0.443,+50000,-0.073,,0.00,+50000,-0.073,+27500,-0.490,,0.00,+50000,-0.073,+25000,-0.536,,0.00,,0.00
"Taylor, Nick",150,+55238,+40000,-0.275,+37500,-0.321,+70000,0.267,+40000,-0.275,+25000,-0.546,+40000,-0.275,+75000,0.357,,0.00,+75000,0.357,+50000,-0.095,,0.00,+75000,0.357,+40000,-0.275,,0.00,,0.00
"Novak, Andrew",150,+56517,+35000,-0.380,+32500,-0.424,+50000,-0.115,+40000,-0.292,+25000,-0.557,+35000,-0.380,+50000,-0.115,,0.00,+50000,-0.115,+35000,-0.380,,0.00,+50000,-0.115,+35000,-0.380,,0.00,,0.00
"Kim, Michael",150,+62238,+22500,-0.637,+20000,-0.678,+30000,-0.517,+35000,-0.437,+20000,-0.678,+20000,-0.678,+30000,-0.517,,0.00,+30000,-0.517,+25000,-0.597,,0.00,+30000,-0.517,+20000,-0.678,,0.00,,0.00
"Eckroat, Austin",150,+63951,+30000,-0.530,+27500,-0.569,+50000,-0.218,+40000,-0.374,+35000,-0.452,+30000,-0.530,+50000,-0.218,,0.00,+50000,-0.218,+27500,-0.569,,0.00,+50000,-0.218,+30000,-0.530,,0.00,,0.00
"Griffin, Ben",150,+67221,+25000,-0.627,+22500,-0.664,+35000,-0.479,+30000,-0.553,,0.00,+25000,-0.627,+35000,-0.479,,0.00,+35000,-0.479,+25000,-0.627,+25000,-0.627,+35000,-0.479,+20000,-0.701,,0.00,,0.00
"Bridgeman, Jacob",150,+72189,+50000,-0.307,+47500,-0.342,+70000,-0.030,+75000,0.039,+50000,-0.307,+50000,-0.307,+75000,0.039,,0.00,+75000,0.039,+50000,-0.307,,0.00,+75000,0.039,+50000,-0.307,,0.00,,0.00
"Hoge, Tom",150,+83963,+40000,-0.523,+37500,-0.553,+60000,-0.285,+50000,-0.404,+20000,-0.761,+40000,-0.523,+60000,-0.285,,0.00,+50000,-0.404,+27500,-0.672,,0.00,+75000,-0.107,+40000,-0.523,,0.00,+37502,-0.553
