player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Horschel, Billy",150,16945.0,11000.0,-0.349,8000,-0.525,12500,-0.261,10000.0,-0.407,8000,-0.525,11000.0,-0.349,12000,-0.29,10000,-0.407,12500,-0.261,10000,-0.407,15000.0,-0.114,12500,-0.261,8000,-0.525,15062,-0.11,14081.0,-0.168,2025-02-11 01:47:20 PM EST
"Fowler, Rickie",150,21405.0,15000.0,-0.298,9000,-0.577,15000,-0.298,12500.0,-0.414,10000,-0.53,12000.0,-0.437,15000,-0.298,12500,-0.414,15000,-0.298,12500,-0.414,18500.0,-0.135,12500,-0.414,12500,-0.414,15011,-0.297,16089.0,-0.247,2025-02-11 01:47:20 PM EST
"Yu, Kevin",150,15943.0,12500.0,-0.215,9000,-0.433,15000,-0.059,20000.0,0.253,15000,-0.059,12000.0,-0.246,15000,-0.059,12500,-0.215,15000,-0.059,20000,0.253,18500.0,0.159,15000,-0.059,12500,-0.215,15011,-0.058,17097.0,0.072,2025-02-11 01:47:20 PM EST
"Rai, Aaron",150,11528.0,12500.0,0.084,8000,-0.303,15000,0.299,10000.0,-0.131,8000,-0.303,12000.0,0.041,15000,0.299,12500,0.084,15000,0.299,10000,-0.131,16500.0,0.428,9000,-0.217,10000,-0.131,13560,0.175,17833.0,0.542,2025-02-11 01:47:20 PM EST
"Novak, Andrew",150,17599.0,11000.0,-0.373,8000,-0.542,12500,-0.288,10000.0,-0.429,10000,-0.429,11000.0,-0.373,12000,-0.316,10000,-0.429,10000,-0.429,10000,-0.429,13500.0,-0.232,9000,-0.486,8000,-0.542,15863,-0.098,13771.0,-0.216,2025-02-11 01:47:20 PM EST
"Jaeger, Stephan",150,20953.0,12500.0,-0.401,9000,-0.568,15000,-0.283,12500.0,-0.401,9000,-0.568,12000.0,-0.425,15000,-0.283,12500,-0.401,10000,-0.52,10000,-0.52,17500.0,-0.164,10000,-0.52,10000,-0.52,15562,-0.256,16089.0,-0.231,2025-02-11 01:47:20 PM EST
"Glover, Lucas",150,19702.0,12500.0,-0.364,9000,-0.54,12500,-0.364,12500.0,-0.364,10000,-0.49,11000.0,-0.439,12000,-0.389,12500,-0.364,12500,-0.364,12500,-0.364,13500.0,-0.313,10000,-0.49,10000,-0.49,12060,-0.386,14081.0,-0.284,2025-02-11 01:47:20 PM EST
"Rodgers, Patrick",150,31986.0,15000.0,-0.529,10000,-0.685,20000,-0.374,15000.0,-0.529,15000,-0.529,15000.0,-0.529,20000,-0.374,12500,-0.607,15000,-0.529,12500,-0.607,20000.0,-0.374,12500,-0.607,12500,-0.607,20066,-0.371,20112.0,-0.37,2025-02-11 01:47:20 PM EST
"Hadwin, Adam",150,21798.0,17500.0,-0.196,10000,-0.539,20000,-0.082,20000.0,-0.082,12500,-0.425,15000.0,-0.31,20000,-0.082,15000,-0.31,17500,-0.196,20000,-0.082,22500.0,0.032,20000,-0.082,15000,-0.31,15011,-0.31,17599.0,-0.192,2025-02-11 01:47:20 PM EST
"Bezuidenhout, Christiaan",150,19768.0,11000.0,-0.441,9000,-0.542,12500,-0.366,11000.0,-0.441,9000,-0.542,11000.0,-0.441,12000,-0.391,10000,-0.492,10000,-0.492,10000,-0.492,15000.0,-0.24,10000,-0.492,10000,-0.492,13561,-0.312,15086.0,-0.236,2025-02-11 01:47:20 PM EST
"English, Harris",150,33798.0,7000.0,-0.791,7000,-0.791,9000,-0.732,5500.0,-0.835,6000,-0.82,8000.0,-0.761,9000,-0.732,6000,-0.82,9000,-0.732,6000,-0.82,10000.0,-0.702,6000,-0.82,6600,-0.802,10050,-0.701,9806.0,-0.708,2025-02-11 01:47:20 PM EST
"Taylor, Nick",150,16754.0,12500.0,-0.252,9000,-0.46,15000,-0.104,10000.0,-0.401,10000,-0.401,12000.0,-0.282,15000,-0.104,12500,-0.252,15000,-0.104,10000,-0.401,15000.0,-0.104,12500,-0.252,8000,-0.519,20066,0.197,20112.0,0.199,2025-02-11 01:47:20 PM EST
"Power, Seamus",150,24191.0,17500.0,-0.275,9000,-0.625,17500,-0.275,20000.0,-0.173,10000,-0.584,15000.0,-0.378,17000,-0.296,15000,-0.378,17500,-0.275,20000,-0.173,25000.0,0.033,17500,-0.275,15000,-0.378,18565,-0.232,21118.0,-0.127,2025-02-11 01:47:20 PM EST
"Homa, Max",150,30669.0,14000.0,-0.542,9000,-0.704,15000,-0.509,12500.0,-0.591,15000,-0.509,12000.0,-0.607,15000,-0.509,12500,-0.591,15000,-0.509,12500,-0.591,17500.0,-0.428,10000,-0.672,12500,-0.591,17564,-0.426,17599.0,-0.425,2025-02-11 01:47:20 PM EST
"Harman, Brian",150,18476.0,15000.0,-0.187,9000,-0.51,17500,-0.053,12500.0,-0.322,10000,-0.456,15000.0,-0.187,17000,-0.079,12500,-0.322,17500,-0.053,12500,-0.322,20000.0,0.082,15000,-0.187,12500,-0.322,13571,-0.264,19107.0,0.034,2025-02-11 01:47:20 PM EST
"Rose, Justin",150,37875.0,10000.0,-0.734,7500,-0.8,12500,-0.668,10000.0,-0.734,10000,-0.734,12000.0,-0.681,12000,-0.681,10000,-0.734,9000,-0.76,12500,-0.668,12500.0,-0.668,10000,-0.734,10000,-0.734,14559,-0.614,14281.0,-0.621,2025-02-11 01:47:20 PM EST
"Cole, Eric",150,35614.0,17500.0,-0.507,15000,-0.577,30000,-0.157,17500.0,-0.507,15000,-0.577,20000.0,-0.437,27000,-0.241,17500,-0.507,20000,-0.437,12500,-0.647,25000.0,-0.297,20000,-0.437,15000,-0.577,18550,-0.478,20112.0,-0.434,2025-02-11 01:47:20 PM EST
"Hoge, Tom",150,37167.0,16000.0,-0.568,15000,-0.595,30000,-0.192,12500.0,-0.662,10000,-0.729,20000.0,-0.461,27000,-0.273,15000,-0.595,27500,-0.259,10000,-0.729,25000.0,-0.326,12500,-0.662,15000,-0.595,22568,-0.392,25138.0,-0.323,2025-02-11 01:47:20 PM EST
"Dunlap, Nick",150,39116.0,17500.0,-0.551,12500,-0.679,25000,-0.36,17500.0,-0.551,15000,-0.615,20000.0,-0.487,25000,-0.36,20000,-0.487,20000,-0.487,15000,-0.615,25000.0,-0.36,15000,-0.615,15000,-0.615,18565,-0.524,24132.0,-0.382,2025-02-11 01:47:20 PM EST
"Echavarria, Nicolas",150,39116.0,25000.0,-0.36,22500,-0.424,35000,-0.105,25000.0,-0.36,25000,-0.36,25000.0,-0.36,35000,-0.105,20000,-0.487,17500,-0.551,20000,-0.487,30000.0,-0.232,20000,-0.487,20000,-0.487,25071,-0.358,,0.0,2025-02-11 01:47:20 PM EST
"Knapp, Jake",150,119900.0,20000.0,-0.833,20000,-0.833,30000,-0.749,25000.0,-0.791,15000,-0.874,25000.0,-0.791,30000,-0.749,20000,-0.833,25000,-0.791,20000,-0.833,22500.0,-0.812,20000,-0.833,20000,-0.833,22550,-0.811,,0.0,2025-02-11 01:47:20 PM EST
"Hubbard, Mark",150,36937.0,25000.0,-0.322,27500,-0.255,50000,0.353,25000.0,-0.322,25000,-0.322,35000.0,-0.052,50000,0.353,20000,-0.457,25000,-0.322,20000,-0.457,35000.0,-0.052,25000,-0.322,20000,-0.457,25071,-0.32,,0.0,2025-02-11 01:47:20 PM EST
"Pavon, Matthieu",150,83233.0,27500.0,-0.669,22500,-0.729,35000,-0.579,30000.0,-0.639,35000,-0.579,25000.0,-0.699,35000,-0.579,25000,-0.699,25000,-0.699,30000,-0.639,25000.0,-0.699,25000,-0.699,25000,-0.699,30074,-0.638,,0.0,2025-02-11 01:47:20 PM EST
"List, Danny",150,,inf,-1.0,47500,-1.0,100000,-1.0,inf,-1.0,100000,-1.0,inf,-1.0,100000,-1.0,150000,-1.0,150000,-1.0,150000,-1.0,inf,-1.0,100000,-1.0,100000,-1.0,40083,-1.0,,0.0,2025-02-11 01:47:20 PM EST
