player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev,Timestamp
"Johnson, Zach",150,86857.0,20000.0,-0.769,17500,-0.798,25000,-0.711,17500.0,-0.798,15000,-0.826,20000.0,-0.769,25000,-0.711,20000.0,-0.769,25000.0,-0.711,20000.0,-0.769,21000.0,-0.757,17500.0,-0.798,15000,-0.826,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Grillo, Emiliano",150,47900.0,30000.0,-0.373,25000,-0.477,35000,-0.269,30000.0,-0.373,35000,-0.269,30000.0,-0.373,35000,-0.269,30000.0,-0.373,35000.0,-0.269,30000.0,-0.373,,0.0,30000.0,-0.373,30000,-0.373,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Hardy, Nick",150,54445.0,50000.0,-0.082,22500,-0.586,35000,-0.357,50000.0,-0.082,20000,-0.632,25000.0,-0.54,35000,-0.357,35000.0,-0.357,35000.0,-0.357,40000.0,-0.265,,0.0,30000.0,-0.448,30000,-0.448,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Waring, Paul",150,68866.0,50000.0,-0.274,27500,-0.6,40000,-0.419,60000.0,-0.129,50000,-0.274,35000.0,-0.491,40000,-0.419,40000.0,-0.419,40000.0,-0.419,40000.0,-0.419,,0.0,40000.0,-0.419,40000,-0.419,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Suber, Jackson",150,50747.0,22500.0,-0.556,12500,-0.752,17500,-0.654,25000.0,-0.506,20000,-0.605,15000.0,-0.703,17000,-0.664,20000.0,-0.605,17500.0,-0.654,17500.0,-0.654,21000.0,-0.585,15000.0,-0.703,12500,-0.752,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Vilips, Karl",150,73071.0,35000.0,-0.52,20000,-0.725,30000,-0.589,20000.0,-0.725,20000,-0.725,20000.0,-0.725,27000,-0.63,20000.0,-0.725,27500.0,-0.623,25000.0,-0.657,,0.0,,0.0,20000,-0.725,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Valimaki, Sami",150,59306.0,50000.0,-0.157,32500,-0.451,40000,-0.325,40000.0,-0.325,35000,-0.409,35000.0,-0.409,40000,-0.325,40000.0,-0.325,40000.0,-0.325,25000.0,-0.577,,0.0,40000.0,-0.325,40000,-0.325,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Mouw, William",150,59306.0,50000.0,-0.157,27500,-0.535,40000,-0.325,60000.0,0.012,50000,-0.157,35000.0,-0.409,40000,-0.325,40000.0,-0.325,40000.0,-0.325,40000.0,-0.325,,0.0,40000.0,-0.325,40000,-0.325,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Lashley, Nate",150,82092.0,40000.0,-0.512,27500,-0.664,40000,-0.512,40000.0,-0.512,25000,-0.695,30000.0,-0.634,40000,-0.512,30000.0,-0.634,40000.0,-0.512,30000.0,-0.634,,0.0,30000.0,-0.634,30000,-0.634,,0.0,,0.0,2025-02-24 10:47:48 PM EST
"Rosenmueller, Thomas",150,58152.0,60000.0,0.032,32500,-0.44,50000,-0.14,60000.0,0.032,50000,-0.14,40000.0,-0.312,50000,-0.14,30000.0,-0.483,50000.0,-0.14,40000.0,-0.312,,0.0,50000.0,-0.14,50000,-0.14,,0.0,,0.0,2025-02-24 10:47:48 PM EST
