player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Pan, C.T.",PGA Tour,141,-15,122,-5,0.074
"Ryder, Sam",PGA Tour,142,3,195,-1,0.068
"Whaley, Vince",PGA Tour,143,19,123,3,0.065
"Soderberg, Sebastian",DP World Tour,144,0,128,-3,0.057
"Hoey, Rico",PGA Tour,145,29,130,4,0.056
"Veerman, Johannes",DP World Tour,146,-22,132,-5,0.052
"Smotherman, Austin",Korn Ferry Tour,147,4,263,1,0.049
"Meronk, Adrian",LIV Golf,148,-2,179,-7,0.048
"Meissner, Mac",PGA Tour,149,-37,162,-8,0.041
"Coody, Pierceson",PGA Tour,150,4,168,-2,0.023
"Docherty, Alistair",Korn Ferry Tour,151,10,216,3,0.022
"Ventura, Kristoffer",Korn Ferry Tour,152,1,194,-3,0.02
"Rozner, Antoine",DP World Tour,153,-14,135,-5,0.016
"Salinda, Isaiah",Korn Ferry Tour,154,18,175,4,0.016
"Silverman, Ben",PGA Tour,155,-15,171,-11,0.01
"Langasque, Romain",DP World Tour,156,-15,97,-5,0.009
"Johnson, Zach",PGA Tour,157,11,309,28,0.002
"Schmid, Matthias",PGA Tour,158,30,114,4,-0.002
"Norlander, Henrik",PGA Tour,159,-2,199,-1,-0.004
"Hoge, Tom",PGA Tour,160,-32,73,-6,-0.005
"McCarty, Matt",PGA Tour,161,10,57,-1,-0.018
"Pieters, Thomas",LIV Golf,162,-3,404,-12,-0.018
"Luiten, Joost",DP World Tour,163,23,229,4,-0.03
"Nakajima, Keita",DP World Tour,164,0,143,-7,-0.039
"Laporta, Francesco",DP World Tour,165,-15,243,-5,-0.041
"Johnson, Dustin",LIV Golf,166,4,null,0,-0.052
"Capan III, Frankie",Korn Ferry Tour,167,-24,147,-4,-0.075
"Gooch, Talor",LIV Golf,168,7,null,0,-0.078
"Hisatsune, Ryo",PGA Tour,169,4,113,-3,-0.08
"Lawrence, Thriston",DP World Tour,170,-4,63,-4,-0.081
"Schaper, Jayden",DP World Tour,171,18,217,9,-0.081
"Vincent, Scott",Other Tours,172,4,430,-8,-0.083
"Van Tonder, Daniel",Other Tours,173,-8,165,-2,-0.085
"Hubbard, Mark",PGA Tour,174,-27,116,-4,-0.088
"Garnett, Brice",PGA Tour,175,40,163,25,-0.095
